Player,Matches,Runs,BF,Fours,Sixes,SR,No.of Not Out,Average
A Agar,28,277,273,19,9,86.92142857142858,5,12.043478260869565
A Nortje,11,16,34,1,0,64.69545454545454,5,2.6666666666666665
AD Hales,72,2063,1489,225,69,119.75569444444442,6,31.257575757575758
AF Milne,13,45,49,1,2,80.69384615384615,8,9.0
AJ Hosein,14,132,115,8,7,95.27214285714285,7,18.857142857142858
AK Markram,30,966,643,84,40,145.66399999999996,6,40.25
AL Phehlukwayo,21,149,129,16,4,88.06666666666666,6,9.933333333333334
AU Rashid,26,92,108,7,0,83.65846153846155,12,6.571428571428571
Adam Zampa,14,48,58,4,0,81.81000000000002,7,6.857142857142857
Afif Hossain,56,1020,846,74,33,102.34428571428573,9,21.70212765957447
Alex Carey,24,229,209,19,7,86.72375,4,11.45
Aron Finch,100,3083,2171,304,123,120.79529999999997,11,34.640449438202246
Asif Ali,48,533,396,26,33,116.96083333333335,13,15.228571428571428
Axar Patel,24,288,189,24,13,138.96125,11,22.153846153846153
B Kumar,19,67,94,0,0,79.4642105263158,11,8.375
BA King,32,793,614,91,26,115.95468749999999,2,26.433333333333334
BA Stokes,35,568,447,42,21,128.55828571428572,8,21.037037037037038
BC Fortuin,7,44,35,7,0,104.36285714285714,2,8.8
BKG Mendis,55,1270,950,100,60,109.53945454545455,2,23.962264150943398
BM Tickner,4,11,23,0,0,50.83,2,5.5
Babar Azam,97,3426,2676,366,51,109.12463917525773,13,40.785714285714285
C Karunaratne,33,291,274,15,12,95.02060606060606,15,16.166666666666668
CAK Rajitha,8,31,53,2,0,73.31125,5,10.333333333333334
CBRLS Kumara,5,10,11,2,0,86.0,2,3.3333333333333335
CJ Jordan,47,430,323,31,21,141.7882978723404,18,14.827586206896552
CR Woakes,13,140,100,9,7,136.88615384615383,7,23.333333333333332
DJ Malan,54,1764,1308,179,60,118.34240740740742,8,38.34782608695652
DJ Mitchell,48,1037,749,69,40,124.65291666666666,10,27.289473684210527
DJ Willey,24,226,173,15,13,104.20166666666665,10,16.142857142857142
DM DE Silva,38,731,621,61,16,102.9057894736842,3,20.885714285714286
DP Conway,35,1234,947,118,32,112.58400000000002,8,45.7037037037037
David Miller,97,2175,1496,145,104,132.75463917525772,34,34.523809523809526
David Warner,97,2859,2018,292,105,125.04721649484534,10,32.86206896551724
De Pretorius,17,261,159,22,15,139.73058823529414,5,21.75
E Lewis,49,1450,950,106,111,121.57224489795918,2,30.851063829787233
Eion Morgan,104,2399,1758,180,119,121.31269230769232,20,28.55952380952381
FA Allen,24,267,195,15,21,116.14999999999998,8,16.6875
FH Allen,28,616,384,62,36,133.0142857142857,0,22.0
Faheem Ashraf,33,311,241,19,18,105.88969696969697,8,12.44
Fakhar Zaman,68,1433,1117,143,48,116.51323529411764,3,22.046153846153846
GD Phillips,51,1375,952,95,69,131.9521568627451,8,31.976744186046513
Glen Maxwell,86,2132,1399,175,105,124.06151162790694,12,28.81081081081081
H Klassen,37,710,479,58,32,133.88297297297296,7,23.666666666666668
HR Walsh,9,36,47,2,2,44.123333333333335,5,9.0
Haider Ali,30,499,395,42,22,113.37999999999998,3,18.48148148148148
Hardik Pandya,67,1271,894,92,65,139.33641791044775,17,25.42
Haris Rouf,15,67,48,5,5,105.34333333333333,5,6.7
Hassan Ali,17,129,69,7,11,150.97235294117647,8,14.333333333333334
He Van Der Dussen,37,1044,811,66,45,109.06486486486487,8,36.0
IS Sodhi,24,139,125,8,8,94.90500000000002,8,8.6875
Iftikhar Ahmed,38,813,613,54,36,127.87947368421052,9,28.03448275862069
Imad Wasim,42,486,368,47,11,126.5195238095238,11,15.67741935483871
Ishan Kishan,26,638,525,71,23,102.52230769230769,1,25.52
J Bumrah,3,8,13,1,0,42.589999999999996,2,8.0
J Charles,39,928,717,98,42,105.60153846153847,0,23.794871794871796
J Holder,33,396,324,23,22,115.22333333333333,7,15.23076923076923
JC Archer,3,19,11,2,1,91.66666666666667,1,9.5
JDS Neesham,53,778,482,59,45,135.98377358490566,18,22.228571428571428
JJ Roy,64,1522,1106,153,69,119.6759375,1,24.158730158730158
JM Bairstow,59,1335,976,120,57,119.94372881355937,12,28.404255319148938
JR Hazlewood,6,22,14,2,1,121.11,4,11.0
Joss Buttler,96,2648,1842,234,112,128.1816666666667,18,33.94871794871795
K Rabada,18,147,134,12,5,100.02722222222224,11,21.0
KA Maharaj,6,69,64,5,4,73.82833333333333,1,13.8
KIC Asalanka,37,823,670,61,34,100.28324324324325,4,24.939393939393938
KL Rahul,68,2265,1628,191,99,118.2705882352941,8,37.75
KMA Paul,16,187,166,10,11,92.67937500000001,7,20.77777777777778
KR Mayers,22,477,351,48,29,133.2790909090909,0,21.681818181818183
KS Williamson,84,2447,1988,229,57,114.35583333333332,10,33.067567567567565
KW Richardson,6,17,17,0,0,71.42833333333333,2,4.25
L Ngidi,8,16,30,1,0,80.41499999999999,3,3.2
LD Chandimal,61,1062,1025,90,22,94.89721311475411,7,19.666666666666668
LH Ferguson,6,21,21,0,2,79.165,2,5.25
Litton Das,69,1608,1207,163,50,116.53333333333332,1,23.647058823529413
Livingstone,24,423,286,25,25,123.56916666666667,5,22.263157894736842
M Marsh,43,1086,854,86,45,126.62162790697677,7,30.166666666666668
M Starc,18,94,93,4,2,105.30944444444444,8,9.4
M Theekshana,14,34,48,1,2,73.095,6,4.25
MA Wood,3,11,13,1,0,107.40333333333332,3,inf
MD Gunathilaka,45,741,615,78,21,104.27044444444442,0,16.466666666666665
MD Shanaka,82,1351,1109,96,68,98.43780487804874,17,20.784615384615385
MDKJ Perera,62,1660,1270,152,55,116.54435483870971,2,27.666666666666668
MJ Santner,55,530,424,39,17,117.91454545454546,24,17.096774193548388
MM Ali,62,1068,743,82,57,109.6183870967742,15,22.72340425531915
MP Stoinis,40,791,536,68,34,138.1035,14,30.423076923076923
MS Chapman,26,663,467,54,31,113.96038461538461,5,31.571428571428573
Mahedi Hasan,27,258,244,18,9,93.12444444444445,7,12.9
Mahmudullah,112,2114,1796,161,64,110.17008928571427,23,23.752808988764045
Martin Guptil,117,3529,2598,309,173,122.21837606837606,7,32.08181818181818
Mathew Wade ,57,1018,771,81,38,120.07122807017544,16,24.829268292682926
Mehidy Hasan Miraz,19,240,203,18,9,115.23052631578948,3,15.0
Mohammad Hasnain,7,24,26,2,1,80.71428571428571,6,24.0
Mohammad Naim,35,815,788,76,17,83.51571428571428,1,23.970588235294116
Mohammad Nawaz,35,427,327,36,19,115.20428571428569,11,17.791666666666668
Mohammad Rizwan,72,2766,2164,242,73,106.97694444444446,16,49.392857142857146
Mohammad Saifuddin,18,200,176,16,7,128.45833333333334,8,20.0
Mohammad Wasim,10,45,50,5,1,85.3,6,11.25
Mosaddek Hossain,31,389,341,26,11,100.2616129032258,10,18.523809523809526
Mushfiqur Rahim,93,1500,1304,126,37,98.73559139784942,16,19.48051948051948
N Pooran,66,1473,1124,106,85,119.19227272727272,8,25.396551724137932
Najmul Hossain,23,548,490,52,6,108.53521739130437,4,28.842105263157894
Naseem Shah,7,25,21,1,2,106.46142857142857,3,6.25
Nasum Ahmed,13,57,64,3,2,78.83,7,9.5
Nurul Hasan,40,420,360,26,14,101.691,14,16.153846153846153
OC Mccoy,10,63,55,6,4,81.855,4,10.5
OF Smith,19,178,126,13,11,125.37578947368421,6,13.692307692307692
P Nissanka,41,1098,979,102,24,90.64804878048781,1,27.45
PBB Rajapaksa,33,678,507,57,30,107.32333333333335,5,24.214285714285715
PD Salt,15,308,207,35,11,116.52066666666666,1,22.0
PJ Cummins,19,116,94,6,6,130.80315789473684,8,10.545454545454545
PVD Chameera,26,95,111,8,1,88.41461538461537,11,6.333333333333333
PWH DE Silva,49,533,430,54,8,107.80510204081631,11,14.026315789473685
Q De Kock,77,2230,1640,227,85,119.1477922077922,7,31.857142857142858
R Ashwin,18,184,160,17,4,126.80388888888888,11,26.285714285714285
R Jadeja,32,457,367,34,12,116.5653125,13,24.05263157894737
