Player,Runs,Mins,BF,Fours,Sixes,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match No,Team
Virat Kohli,26,30,21,3,1,123,5,1,2,Zimbabwe,Harare,2010-06-12,182,India
Virat Kohli,28,28,19,5,0,147,1,0,1,South Africa,Durban,2011-01-09,196,India
Virat Kohli,14,15,12,2,0,116,3,0,1,West Indies,Other,2011-06-04,200,India
Virat Kohli,4,5,5,0,0,80,4,0,1,England,Manchester,2011-08-31,204,India
Virat Kohli,15,21,16,3,0,93,3,0,1,England,Eden Gardens,2011-10-29,214,India
Virat Kohli,22,30,21,0,1,104,3,0,2,Australia,Sydney,2012-02-01,217,India
Virat Kohli,31,29,24,3,0,129,3,0,2,Australia,Melbourne,2012-02-03,218,India
Virat Kohli,68,65,48,11,1,141,3,0,1,Srilanka,Pallekele,2012-08-07,255,India
Virat Kohli,70,67,41,10,1,170,2,0,2,Newzland,Other,2012-09-11,261,India
Virat Kohli,50,60,39,4,2,128,3,0,1,Afghanistan,Colombo (RPS),2012-09-19,265,India
Virat Kohli,40,33,32,6,0,125,3,0,1,England,Colombo (RPS),2012-09-23,272,India
Virat Kohli,15,18,13,2,0,115,3,0,1,Australia,Colombo (RPS),2012-09-28,278,India
Virat Kohli,78,61,61,8,2,127,3,1,2,Pakistan,Colombo (RPS),2012-09-30,282,India
Virat Kohli,2,5,6,0,0,33,3,0,1,South Africa,Colombo (RPS),2012-10-02,286,India
Virat Kohli,21,35,17,2,0,123,3,0,2,England,Pune,2012-12-20,292,India
Virat Kohli,38,25,20,7,0,190,3,0,1,England,Wankhede,2012-12-22,294,India
Virat Kohli,9,15,11,1,0,81,3,0,1,Pakistan,Bengaluru,2012-12-25,296,India
Virat Kohli,27,31,22,3,0,122,3,0,1,Pakistan,Ahmedabad,2012-12-28,298,India
Virat Kohli,29,26,22,2,1,131,4,0,2,Australia,Rajkot,2013-10-10,331,India
Virat Kohli,36,45,32,4,1,112,3,1,2,Pakistan,Mirpur,2014-03-21,378,India
Virat Kohli,54,51,41,5,1,131,3,0,2,West Indies,Mirpur,2014-03-23,382,India
Virat Kohli,57,66,50,3,1,114,3,1,2,Bangladesh,Mirpur,2014-03-28,389,India
Virat Kohli,23,23,22,2,1,104,3,0,1,Australia,Mirpur,2014-03-30,393,India
Virat Kohli,72,67,44,5,2,163,3,1,2,South Africa,Mirpur,2014-04-04,399,India
Virat Kohli,77,75,58,5,4,132,3,0,1,Srilanka,Mirpur,2014-04-06,400,India
Virat Kohli,66,54,41,9,1,160,3,0,2,England,Birmingham,2014-09-07,405,India
Virat Kohli,43,58,27,1,3,159,3,0,1,South Africa,Dharamsala,2015-10-02,456,India
Virat Kohli,1,3,1,0,0,100,3,0,1,South Africa,Cuttack,2015-10-05,457,India
Virat Kohli,90,71,55,9,2,163,3,1,1,Australia,Adelaide,2016-01-26,485,India
Virat Kohli,59,44,33,7,1,178,3,1,1,Australia,Melbourne,2016-01-29,486,India
Virat Kohli,50,49,36,2,1,138,3,0,2,Australia,Sydney,2016-01-31,489,India
Virat Kohli,7,13,12,1,0,58,3,0,1,Bangladesh,Mirpur,2016-02-24,509,India
Virat Kohli,49,71,51,7,0,96,3,0,2,Pakistan,Mirpur,2016-02-27,512,India
Virat Kohli,56,85,47,7,0,119,3,1,2,Srilanka,Mirpur,2016-03-01,515,India
Virat Kohli,41,62,28,5,0,146,3,1,2,Bangladesh,Mirpur,2016-03-06,521,India
Virat Kohli,23,5,27,2,0,85,3,0,2,Newzland,Nagpur,2016-03-15,535,India
Virat Kohli,55,66,37,7,1,148,3,1,2,Pakistan,Eden Gardens,2016-03-19,541,India
Virat Kohli,24,37,24,0,1,100,3,0,1,Bangladesh,Bengaluru,2016-03-23,547,India
Virat Kohli,82,78,51,9,2,160,3,1,2,Australia,Mohali,2016-03-27,553,India
Virat Kohli,89,63,47,11,1,189,3,1,1,West Indies,Wankhede,2016-03-31,556,India
Virat Kohli,16,8,9,3,0,177,3,0,2,West Indies,Lauderhill,2016-08-27,562,India
Virat Kohli,29,34,26,4,0,111,1,0,1,England,Other,2017-01-26,592,India
Virat Kohli,21,17,15,2,1,140,1,0,1,England,Nagpur,2017-01-29,593,India
Virat Kohli,2,6,4,0,0,50,1,0,1,England,Bengaluru,2017-02-01,594,India
Virat Kohli,39,5,22,7,1,177,1,0,1,West Indies,Kingston,2017-07-09,617,India
Virat Kohli,82,5,54,7,1,151,3,0,2,Srilanka,Colombo (RPS),2017-09-06,618,India
Virat Kohli,22,19,14,3,0,157,3,1,2,Australia,Ranchi,2017-10-07,623,India
Virat Kohli,0,2,2,0,0,0,3,0,1,Australia,Other,2017-10-10,624,India
Virat Kohli,26,19,11,0,3,236,4,1,1,Newzland,Delhi,2017-11-01,630,India
Virat Kohli,65,59,42,8,1,154,4,0,2,Newzland,Rajkot,2017-11-04,631,India
